Scenario,BDG,CoreInflation,ChangeDebt/GDP,SRi,Money0/GDP,R.GDPg,Curve,Equityg,R.FXxTWI
1,0.281991171,0.37353792,-1.350650183,4.08685555,11.98746876,0.230647025,-0.072862342,0.07,4.105495493
1,0.716897549,-2.558923406,-0.399718147,4.035026365,12.06690177,6.497520701,-0.243424755,0.104520995,9.422167006
1,0.738362003,-0.451263992,-1.807379412,5.415671703,12.28636971,2.538874446,-0.038194575,0.052382646,7.16436256
1,0.264956614,0.236574016,-1.287553648,2.103385153,11.64405793,0.755680724,-2.263910254,-0.143299654,8.874071529
1,-1.735895875,-3.43239844,2.668310806,4.581049698,12.07546136,-3.784445407,-2.152328068,-0.268325072,11.49678835
1,-2.89036383,-1.207772607,4.153161232,0.564574738,11.52490841,-5.391897747,1.156717818,-0.349116786,-10.37469271
1,-3.012985234,-3.236951327,3.393120236,0.091035764,11.78580477,0.602012324,-2.514388624,0.620468789,-15.59541117
1,-1.091962247,-0.680291787,-0.161744923,0.851834649,13.47512583,7.235701906,-2.357633287,0.295221058,0
1,-0.512558989,-0.330147151,-5.115943886,0.208272998,12.78727702,4.821153476,-2.45818482,0.016218776,-0.075731543
1,-0.015177348,0.873852346,-6.416309013,0.49323789,12.64107919,3.852638167,-2.439650321,0.102477477,2.272210621
1,0.8,2.5,0.7,3.428408419,6.862877124,6.389317497,-0.186293525,0.07,8.71257485
1,0.8,2.5,0.7,2.718028907,6.665791423,1.223446247,0.179693133,0.244232589,2.649700599
1,1.05,2,2.2,4.528083002,6.576802589,1.024562222,1.036200611,0.327045681,3.458083832
1,1.3,3.8,2.35,3.167800693,6.436677022,6.464941869,2.125143432,0.485554356,0.763473054
1,0.1,1.27,4.65,1.661398022,6.468887705,-6.153294101,0.054610628,-0.297848984,3.997005988
1,-2.48,-6.7,13,1.540254416,7.471058481,-7.019610306,-1.625869475,-0.349932392,15.04491018
1,-3.4,-8.9,27.8,0.03442228,9.164212086,-11.89805512,-2.191086425,-0.434593259,23.80239521
1,-3,-6.2,30,0.121967712,9.739818799,-2.82851299,-3.323104418,0.367707076,-3.413173653
1,-2.1,6.2,13.1,0.14675429,11.16855364,9.203566815,-3.103037196,-0.106287299,-9.476047904
1,-1.4,5.9,-8.2,0.024469614,11.74416035,9.579266542,-3.028889408,0.271149777,-2.47005988
1,-0.18,5.8,-19.4,0.133378413,12.68500344,12.34345845,-2.793407732,0.224630979,-6.646706587
1,-0.637106399,-1.34716139,4.523506561,5.836235132,19.75070708,3.064139127,1.114445949,0.1,5.603979045
1,0.277414395,-9.051330095,3.954369971,6.514738838,19.54414958,2.674942683,1.009958312,0.359747947,11.06162811
1,0.984210043,-5.549760714,3.44433353,5.324599207,18.91576958,1.586758374,0.369065262,0.035076222,13.29742775
1,0.489557514,-4.774259765,4.048973505,2.276848819,16.9510511,5.048146284,-2.986054099,-0.097863937,8.751427394
1,0.507470394,1.90127818,4.463323992,2.551284261,16.43718072,5.316557625,-2.733151368,-0.046319659,6.914944964
1,-0.191051593,-2.112279362,5.799247117,2.882951215,17.38032881,0.475088072,-2.445490505,-0.174127871,10.33927836
1,-1.888598182,-15.96639257,10.07177649,2.035511119,18.49643697,-3.987250461,-2.51415381,-0.111551925,3.179822238
1,-1.351854402,-2.546574214,11.0033074,6.041027409,17.80425283,4.216071129,0.059760531,-0.163431,13.90393784
1,1.240934545,5.799906911,8.550110046,3.141527323,16.88373423,9.239836716,-2.116674308,-0.131704393,-43.37453646
1,2.909563481,2.789917772,1.725883075,2.398896742,17.18961076,5.530168316,-2.256346558,0.732338341,-25.64353405
1,1.591239787,1.502428662,-2.38017006,2.280296501,17.01525093,2.437845999,-2.218816304,-0.152781995,-27.48001648
1,0.722665932,2.445847406,-2.519585794,2.268574384,16.58552871,4.622043281,-2.145888198,0.084869526,-23.46424157
1,1.35713519,23.57619317,-36.29796145,4.375494071,16.71650669,3.172460036,-0.733628615,0.2,-34.53122722
1,0.657946714,35.24084968,-29.86984459,1.956521739,17.79711571,1.6317947,1.915406999,0.391838741,-13.42794654
1,0.79132227,-16.01127329,-10.45739155,2.774703557,18.4190045,3.65568949,-1.459197075,0.490003532,-17.68165249
1,2.084877305,13.77064514,-10.841699,3.37944664,18.90648465,8.008869112,-0.910076481,0.455217865,-8.478250304
1,2.345692265,2.579811455,-5.108291762,1.849802372,21.87097956,5.614208866,-0.313135735,-0.135735697,-8.62600243
1,0.497595483,6.049917543,-0.882552196,1.067193676,26.79924637,-2.771673702,-1.104756264,-0.179182689,2.692588092
1,-1.049110114,-11.94501194,9.34265361,0.56916996,31.25900159,-5.015467609,-1.794787938,-0.24548753,8.789307412
1,-1.833734086,-11.16105053,1.001211225,1.351778656,33.83337701,-3.482117005,-2.966806582,0.214207451,4.504495747
1,-1.574046244,0.643168336,0.552852538,2.881422925,35.69827913,-0.254948873,-2.566554219,0,30.78298906
1,-1.70682067,-11.56595368,0.552852538,3.486166008,40.7232856,-3.495374956,-2.336105889,-0.08296987,17.14702309
1,-1.486882501,-1.259014941,9.708895321,5.727272727,34.57901286,-1.828987672,-0.04815492,-0.171495736,24.27411908
1,-0.125099294,26.23821596,-10.60027509,2.098814229,25.80114395,0.798372472,-1.148172946,0.165028044,6.493317132
