Identifier,Country,Year,M0/GDP,M1/GDP,M0/M1,∆ Debt/GDP,Debt Growth,Invest/GDP,REER,Inflation Rate,ST Interest,HPI,Curve,UR,CreditSprd,Nom GDPg,Depression
Australia1970,Australia,1970,0.06730756,0.141099368,0.477022409,-0.01820001,0.055200148,0.323628497,-1.256652832,3.439153433,7.108333111,0.319093466,-0.461666584,1.638373256,0.80833292,0.111834337,0
Australia1971,Australia,1971,0.067624241,0.134755097,0.501830673,-0.025800001,0.021228529,0.316638249,3.09425354,6.1381073,7.008333206,0.422700167,-0.295000076,1.889747858,1.308333397,0.105325873,0
Australia1972,Australia,1972,0.069534214,0.147477555,0.47149015,-0.015899992,0.040682267,0.286407703,1.200767517,6.024096489,5.083333492,0.479900122,0.748332977,2.589617252,0.683333397,0.0963206,0
Australia1973,Australia,1973,0.069494978,0.145727734,0.476882309,-0.032700013,0.051008934,0.299447086,11.62477875,9.090909004,6.983333111,1.109200001,-0.049999714,2.29451704,-1.31666708,0.180846516,0
Australia1974,Australia,1974,0.069739015,0.121111987,0.575822561,-0.034599988,0.038170486,0.315781281,1.089286804,15.41666698,13.15833378,0.756499767,-4.121666908,2.656919718,4.158333778,0.194279508,0
Australia1975,Australia,1975,0.070041942,0.132448611,0.528823529,-0.001499997,0.159718874,0.258976269,-4.961051941,15.16245461,8.524999619,0.765900135,1.216667175,4.878655434,0.125,0.167328564,0
Australia1976,Australia,1976,0.066618016,0.122731947,0.542792793,-0.005600016,0.145621612,0.261103579,2.713348389,13.32288361,9.239999771,0.664299965,0.790833473,4.749998569,2.039999962,0.174390671,0
Australia1977,Australia,1977,0.063569634,0.117206512,0.542372881,-0.008099996,0.072744926,0.259329049,-8.047737122,12.30982018,10.21249962,0.552999496,0.014166832,5.60413456,2.302499771,0.113178757,0
Australia1978,Australia,1978,0.057094251,0.119715204,0.476917293,0.008900003,0.14920032,0.262183082,-3.38419342,8.004925728,9.843333244,0.32420063,-0.783332825,6.290086269,1.563333511,0.10349931,0
Australia1979,Australia,1979,0.054413552,0.119995294,0.453464052,0.005100007,0.173844606,0.271064921,-3.968185425,9.122006416,9.773333549,1.39209938,-0.024167061,6.264902115,1.773333549,0.147690757,0
Australia1980,Australia,1980,0.052959415,0.124438636,0.425586592,-0.0154,0.052259031,0.273456482,-0.0078125,10.13584137,12.02750015,1.439700127,-0.380000114,6.132999897,-0.472499847,0.12815968,0
Australia1981,Australia,1981,0.051333754,0.114790341,0.447195767,-0.024099996,0.015408455,0.293011692,7.943092346,9.48766613,15.03833294,1.455600739,-1.079999924,5.782999992,0.288332939,0.144612989,0
Australia1982,Australia,1982,0.050321409,0.102785543,0.48957672,-0.015500013,0.025398998,0.270947207,0.393798828,11.35181999,16.83416748,-0.031700134,-1.45916748,7.183000088,6.33416748,0.116794616,1
Australia1983,Australia,1983,0.051896458,0.109488318,0.473990826,0.015000002,0.176227475,0.240135771,-2.053367615,10.03891087,12.1991663,1.322099686,1.688333511,9.967000008,6.199166298,0.082826657,1
Australia1984,Australia,1984,0.051224469,0.10361404,0.494377682,0.014700014,0.217291109,0.279905022,3.116699219,3.960396051,12.10000038,1.398500443,1.424999237,8.967000008,0.850000381,0.129402134,0
Australia1985,Australia,1985,0.051633492,0.099703293,0.517871486,0.01639999,0.20004469,0.27762903,-16.10974884,6.734694004,15.98250008,1.566800117,-2.028333664,8.258000374,-3.017499924,0.110586865,0
Australia1986,Australia,1986,0.051300924,0.103411475,0.496085409,0.014099999,0.157781147,0.263640781,-10.72687531,9.090435028,16.45166588,0.556200027,-3.034998894,8.116999626,1.701665878,0.088047217,0
Australia1987,Australia,1987,0.051234483,0.110916979,0.461917404,-0.0135,0.059907999,0.267656535,-0.159408569,8.487575531,13.75,1.57959938,-0.558333397,8.107999802,2.5,0.124770912,0
Australia1988,Australia,1988,0.049947498,0.115995522,0.430598504,0.027600003,0.272617109,0.287930048,7.931350708,7.21205616,12.80000019,6.289800644,-0.695833206,7.199999809,-1.75,0.131101252,0
Australia1989,Australia,1989,0.044961559,0.111851071,0.401977011,-0.078039989,-0.228738434,0.305287655,6.050262451,7.580321312,17.61166573,2.68239975,-4.203331947,6.132999897,-0.288333893,0.124983006,0
Australia1990,Australia,1990,0.045070702,0.112900379,0.399207709,-0.006090012,0.025519774,0.271063204,-2.148475647,7.232851028,14.54333305,0.308300018,-1.363332748,6.941999912,2.543333054,0.063585405,0
Australia1991,Australia,1991,0.04670995,0.120489157,0.387669323,0.052000011,0.326476582,0.224111445,-1.380363464,3.307223558,10.22583294,1.185499191,0.465000153,9.607999802,1.725832939,0.007243031,1
Australia1992,Australia,1992,0.047735369,0.139486468,0.342222222,0.060249984,0.326927833,0.224007019,-8.218444824,0.968828976,6.465833187,0.197099686,2.75416708,10.74199963,0.715833187,0.037598858,0
Australia1993,Australia,1993,0.048288271,0.155981221,0.309577465,0.030330025,0.168507445,0.239418936,-5.318122864,1.752190232,5.151666641,0.79129982,2.129166603,10.88300037,0.401666641,0.052933148,0
Australia1994,Australia,1994,0.04923613,0.163257188,0.301586294,0.010439972,0.096496904,0.257942327,3.579078674,1.927019238,5.656666756,1.04250145,3.385000229,9.717000008,-1.843333244,0.060395489,0
Australia1995,Australia,1995,0.048736526,0.163841587,0.297461263,-0.005659983,0.041985877,0.253702669,-1.686569214,4.625905037,7.643807888,0.085800171,1.56708765,8.482999802,0.143807888,0.060923108,0
Australia1996,Australia,1996,0.060830601,0.175810986,0.346,-0.017980014,-0.000476068,0.247518309,6.853034973,2.652825832,7.016424656,0.534000397,1.192781925,8.524999619,1.016424656,0.060765896,0
Australia1997,Australia,1997,0.052250675,0.188515385,0.277169288,-0.034380007,-0.068024424,0.245862111,-0.413948059,0.224719107,5.290240765,1.948200226,1.66467762,8.366999626,0.290240765,0.055653842,0
Australia1998,Australia,1998,0.05274645,0.189507215,0.278334786,-0.022089985,-0.034497578,0.262297058,-6.710617065,0.859491765,4.836814404,2.199398041,0.656156063,7.691999912,0.086814404,0.055501301,0
Australia1999,Australia,1999,0.046585997,0.197104846,0.236351351,-0.011539987,0.003147918,0.263234732,0.252975464,1.407928824,4.758450031,3.47069931,1.250862122,6.867000103,-0.241549969,0.054497781,0
Australia2000,Australia,2000,0.045352954,0.200088702,0.226664244,-0.030490014,-0.068238492,0.250955365,-3.065505981,4.457435131,5.976084232,2.625202179,0.338485241,6.291999817,-0.273915768,0.077488214,0
Australia2001,Australia,2001,0.050645589,0.228353923,0.2217855,-0.023889993,-0.067439019,0.234587072,-2.874656677,4.407135487,4.800189972,6.601200104,0.815074444,6.775000095,0.550189972,0.062801096,0
Australia2002,Australia,2002,0.047910799,0.273962105,0.174881119,-0.020960006,-0.060014506,0.253727066,3.290603638,3.048576117,4.450031757,9.197898865,1.393926144,6.357999802,-0.299968243,0.071245329,0
Australia2003,Australia,2003,0.046756342,0.284192471,0.164523507,-0.018240001,-0.067864616,0.267156815,8.51134491,2.730819225,4.895833492,11.02220154,0.47094202,5.941999912,-0.354166508,0.061076307,0
Australia2004,Australia,2004,0.044803296,0.281612418,0.159095597,-0.012790008,-0.026968553,0.272489722,6.049728394,2.341772079,5.478333473,0.194900513,0.112441063,5.382999897,0.228333473,0.07755048,0
Australia2005,Australia,2005,0.044584971,0.288514152,0.154533046,-0.010489995,-0.017056471,0.277465972,2.543144226,2.659245491,5.64416647,1.645698547,-0.304193497,5.032999992,0.14416647,0.077906439,0
Australia2006,Australia,2006,0.043699973,0.29731208,0.146983511,-0.009199997,-0.013233442,0.271602407,-0.725479126,3.554216862,5.988333225,6.098701477,-0.400461197,4.791999817,-0.261666775,0.078115414,0
Australia2007,Australia,2007,0.045700609,0.308651502,0.148065402,-0.002729999,0.06007149,0.281093635,5.093704224,2.356020927,6.667500019,10.26139832,-0.672979355,4.375,-0.082499981,0.090014524,0
Australia2008,Australia,2008,0.059510089,0.320370537,0.18575394,0.020769992,0.324959005,0.288168173,-1.959060669,4.347826004,6.973333359,-3.48500061,-1.155389309,4.25,2.723333359,0.090591861,0
Australia2009,Australia,2009,0.045177055,0.326311517,0.138447626,0.048800004,0.446656995,0.265437338,-2.780784607,1.77015245,3.147518158,12.00389862,1.891993523,5.574999809,-0.602481842,0.021937538,0
Australia2010,Australia,2010,0.042534388,0.326056408,0.130451012,0.037280004,0.32357897,0.264944732,12.40662384,2.863259315,4.441249847,4.259399414,0.924791813,5.208000183,-0.308750153,0.081107085,0
Australia2011,Australia,2011,0.041223375,0.308970561,0.133421691,0.036900018,0.270159307,0.269298833,6.963722229,3.355879307,4.556041718,-4.065795898,0.323541641,5.083000183,0.306041718,0.075197171,0
Australia2012,Australia,2012,0.041905832,0.332105828,0.126182162,0.034809971,0.181434348,0.282680784,2.059532166,1.686383128,3.493541718,2.904197693,-0.114375114,5.232999802,0.493541718,0.032000474,0
Australia2013,Australia,2013,0.056379793,0.3674644,0.153429266,0.029450001,0.146340194,0.271498682,-5.547744751,2.450495005,2.828125,9.874099731,0.894916773,5.657999992,0.328125,0.035529057,0
Australia2014,Australia,2014,0.057184012,0.398693159,0.143428627,0.035700017,0.148722387,0.263461489,-5.134849548,2.512684107,2.67750001,7.357200623,0.98633337,6.058000088,0.17750001,0.028234056,0
Australia2015,Australia,2015,0.061334766,0.446071993,0.137499701,0.036899999,0.126143491,0.260941084,-8.520751953,1.484798551,2.255833387,10.06780243,0.464666605,6.058000088,0.255833387,0.015994806,0
Austria1987,Austria,1987,0.062910234,0.136497311,0.460889918,0.037799665,0.112846878,0.249027493,2.747138977,1.401955366,4.541643143,4.792701721,2.468357086,3.799999952,0.911643028,0.038271902,0
Austria1988,Austria,1988,0.063400928,0.141554773,0.447889723,0.012388033,0.071762793,0.260339949,-0.312232971,1.915718913,4.781826496,5.185600281,2.078173637,2.676000118,0.031826496,0.04873056,0
Austria1989,Austria,1989,0.064400701,0.133930656,0.480851087,-0.00773781,0.055312471,0.267766469,-1.247924805,2.568347216,7.749283791,8.799900055,-0.599283695,2.34800005,0.499283791,0.069670778,0
Austria1990,Austria,1990,0.063102845,0.131137257,0.481196925,-0.00379397,0.067586934,0.266400117,1.81262207,3.261872292,8.964166641,14.29969788,-0.194166183,2.72300005,0.964166641,0.074756753,0
Austria1991,Austria,1991,0.063311317,0.131469903,0.481565097,0.002180734,0.076226935,0.277201302,-2.04019928,3.33742547,9.46333313,11.31410217,-0.90333271,3.151000023,0.21333313,0.072088423,0
Austria1992,Austria,1992,0.063205419,0.13249728,0.47703182,-0.001305948,0.054021749,0.271454714,1.817848206,4.020849705,9.460000038,7.621299744,-2.090000153,3.289999962,0.960000038,0.056454595,0
Austria1993,Austria,1993,0.064813115,0.139914749,0.463232901,0.046812725,0.11845077,0.254087913,2.714820862,3.63178277,7.023333549,1.650001526,-0.32333374,3.957999945,1.423333645,0.032984138,0
Canada1962,Canada,1962,0.043519776,0.232370847,0.187285868,-0.00719313,0.076729463,0.232208837,-5.8331604,1.061571002,4.052499771,0.051238537,1.046667099,5.884345055,0.052499771,0.088350069,0
Canada1963,Canada,1963,0.042273287,0.2286786,0.184858954,-0.01263407,0.055556887,0.228659094,-1.038726807,1.628151059,3.561666727,0.034061909,1.52916646,5.53104496,-0.438333273,0.075952688,0
Canada1964,Canada,1964,0.041687843,0.21910699,0.190262496,-0.033533052,0.040515743,0.237220936,0.264099121,1.912145019,3.749166727,0.187485695,1.434999704,4.667030334,-0.500833273,0.09676305,0
Canada1965,Canada,1965,0.040550384,0.211229873,0.19197277,-0.037165499,0.037204817,0.261019966,0.017227173,2.332657099,3.984166622,0.248332024,1.215000153,3.86213994,-0.765833378,0.103307087,0
Canada1966,Canada,1966,0.038745551,0.201395999,0.192384909,-0.012376391,0.096359803,0.266007046,0.680892944,3.815659046,4.994999886,0.471335888,0.690000057,3.335743189,-0.255000114,0.120132324,0
Canada1967,Canada,1967,0.03932639,0.205372636,0.191487972,-0.000474743,0.07566556,0.241185317,0.597640991,3.579952002,4.640833378,0.458525658,1.257500172,3.826253414,-1.359166622,0.076560977,0
Canada1968,Canada,1968,0.038926361,0.196587156,0.198010705,-0.007037,0.079286413,0.232318985,0.778007507,4.055300236,6.267499924,0.629127026,0.457499981,4.477924824,-0.232500076,0.092770011,0
Canada1969,Canada,1969,0.038542497,0.191191481,0.20159108,-0.018952122,0.064326229,0.242658799,-0.344863892,4.5615592,7.192500114,0.571192265,0.365833282,4.418209553,-0.807499886,0.101383898,0
Canada1970,Canada,1970,0.038236327,0.181751749,0.210376668,0.023195497,0.12371391,0.214550256,0.8359375,3.366110086,5.990833282,0.041340351,1.974999905,5.715872765,-0.009166718,0.077785491,0
Canada1971,Canada,1971,0.03920812,0.188141257,0.208397247,0.011476466,0.113446681,0.223400384,2.136985779,2.704915047,3.5625,0.460100174,3.382500172,6.190122604,-1.1875,0.091376553,0
Canada1972,Canada,1972,0.040222412,0.194117219,0.207206819,-0.012025968,0.093425565,0.229825319,1.022132874,4.988033772,3.560833216,0.617799759,3.664166689,6.235191822,-1.189166784,0.116618305,0
Canada1973,Canada,1973,0.039107668,0.189861917,0.20597953,-0.043597281,0.081222712,0.244423386,-3.210067749,7.48763895,5.46999979,2.376700401,2.058333397,5.540377617,-1.78000021,0.171289893,0
Canada1974,Canada,1974,0.037033748,0.174555373,0.212160458,-0.028281241,0.125315182,0.262795873,0.753456116,10.99717712,7.824166775,1.510899544,1.045833111,5.335189342,-0.925833225,0.189597341,0
Canada1975,Canada,1975,0.038078665,0.177209716,0.214879105,0.003745126,0.133382742,0.250382177,-2.985725403,10.67218685,7.394999981,1.975299835,1.598332882,6.932513237,-1.605000019,0.124873559,0
Canada1976,Canada,1976,0.035537932,0.165099433,0.215251688,-0.070419355,-0.005736474,0.252420067,9.316932678,7.541738987,8.867500305,1.321400642,0.361666679,7.08768177,0.367500305,0.157692999,0
Canada1977,Canada,1977,0.035500723,0.162205254,0.218862964,0.014635801,0.142681955,0.237538499,-7.49495697,7.976440907,7.33166647,0.568200111,1.361667156,8.063688278,-0.16833353,0.104934316,0
Canada1978,Canada,1978,0.035505306,0.160875422,0.220700624,0.028187165,0.177992278,0.232442725,-9.917358398,8.973725319,8.675833702,1.131999016,0.559999466,8.379200935,-2.074166298,0.107530283,0
Canada1979,Canada,1979,0.032857222,0.149649001,0.219561922,-0.026463268,0.076888912,0.249182916,3.56124115,9.144674301,11.6875,1.646100998,-1.508333206,7.508606911,-2.3125,0.140962015,0
Canada1980,Canada,1980,0.032219888,0.143758791,0.224124648,0.0011268,0.125141667,0.235403461,-1.640716553,10.1292181,12.79333305,3.107398987,-0.454999924,7.517000198,-4.466667175,0.122298406,0
Canada1981,Canada,1981,0.029074976,0.133108959,0.218429895,0.014869972,0.179254369,0.251950548,4.619361877,12.47162151,17.71999931,1.894100189,-2.730833054,7.617000103,3.059999466,0.141197465,0
Canada1982,Canada,1982,0.029934489,0.130938072,0.228615626,0.056300009,0.182576714,0.196501117,6.529167175,10.76896858,13.65750027,-1.844499588,0.777832985,11.10000038,3.607500076,0.053814496,1
Canada1983,Canada,1983,0.030380997,0.137943187,0.220242821,0.055039992,0.200891773,0.199709956,4.604522705,5.86359024,9.31000042,1.249200821,2.088582993,12,-0.649999619,0.085359665,0
Canada1984,Canada,1984,0.029221665,0.137568732,0.212415019,0.030019996,0.154068498,0.208283368,-2.034675598,4.304776192,11.05916691,-0.036100388,1.650875092,11.375,0.969166756,0.09653087,0
Canada1985,Canada,1985,0.029218422,0.157788667,0.185174403,0.049530009,0.171373638,0.21573435,-3.756355286,3.962027788,9.430000305,2.15130043,1.481833458,10.50800037,-0.059999466,0.082342322,0
Canada1986,Canada,1986,0.029603327,0.178952312,0.165425785,0.041570009,0.120387954,0.215219414,-9.725105286,4.194785118,8.970833778,5.199899673,0.174707413,9.607999802,0.480834007,0.053203127,0
Canada1987,Canada,1987,0.029460107,0.185500816,0.158813894,0.004379983,0.097477895,0.223590372,0.141418457,4.356108665,8.145833015,3.914600372,1.324874878,8.800000191,-0.514166832,0.090587319,0
Canada1988,Canada,1988,0.029095828,0.174932921,0.166325629,-0.000159943,0.091260639,0.236701899,5.254844666,4.028233528,9.482500076,7.445800781,0.348416328,7.775000095,-1.707499504,0.091510893,0
Canada1989,Canada,1989,0.029244512,0.174014373,0.168058025,0.012419947,0.090356974,0.237470201,6.993080139,4.983625412,12.05416679,3.657596588,-2.271913528,7.507999897,-0.415833473,0.071279993,0
Canada1990,Canada,1990,0.02882814,0.176783209,0.163070576,0.027570039,0.075842119,0.213860225,-1.217414856,4.780479908,12.8083334,-3.220096588,-2.081255913,8.149999619,1.08833313,0.03562053,0
Canada1991,Canada,1991,0.030237698,0.183708832,0.164595777,0.0791399,0.117302805,0.192194627,2.938934326,5.625858307,8.726666451,1.542396545,0.729259491,10.31700039,1.056666374,0.00901796,1
Canada1992,Canada,1992,0.032250611,0.186997454,0.172465508,0.065720125,0.106137295,0.181927131,-8.846809387,1.490137935,6.585000038,2.137702942,1.476232529,11.21700001,-0.775000095,0.023744145,0
Canada1993,Canada,1993,0.030145763,0.18909639,0.159420085,0.064999991,0.116414011,0.184293415,-6.373176575,1.865449548,4.843333244,-0.067699432,2.401737213,11.375,0.733333111,0.039810087,0
Canada1994,Canada,1994,0.034470916,0.193243318,0.178380893,0.027499959,0.090926971,0.195636967,-7.907844543,0.136372492,5.538333416,1.461196899,2.826534748,10.3920002,-0.151666641,0.06015097,0
Canada1995,Canada,1995,0.033657159,0.185474757,0.181464902,0.026039992,0.078114161,0.193805832,-2.725242615,2.188715935,6.892499924,-1.930198669,1.117500305,9.467000008,1.112499714,0.050063639,0
Canada1996,Canada,1996,0.033471577,0.194110724,0.172435486,0.001600005,0.035578207,0.188784114,0.842353821,1.580199957,4.20666647,0.040599823,2.703333378,9.607999802,1.20666647,0.03392531,0
Canada1997,Canada,1997,0.033244168,0.204556708,0.162518101,-0.04971998,0.002453282,0.213435275,-0.784065247,1.611845136,3.258333445,0.807300568,2.641666651,9.092000008,-0.991666555,0.054768711,0
Canada1998,Canada,1998,0.034362946,0.210316536,0.163386801,-0.019820004,0.015497646,0.211036545,-4.701751709,0.986811757,4.73083353,-0.30670166,0.548219681,8.291999817,-0.26916647,0.037072484,0
