Identifier,Country,Year,M0/GDP,M1/GDP,M0/M1,∆ Debt/GDP,Debt Growth,Invest/GDP,REER,Inflation Rate,ST Interest,HPI,Curve,UR,CreditSprd,Nom GDPg,Depression
Australia1970,Australia,1970,0.06730756,0.141099368,0.477022409,-0.01820001,0.055200148,0.323628497,-1.256652832,3.439153433,7.108333111,0.319093466,-0.461666584,1.638373256,0.80833292,0.111834337,0
Australia1971,Australia,1971,0.067624241,0.134755097,0.501830673,-0.025800001,0.021228529,0.316638249,3.09425354,6.1381073,7.008333206,0.422700167,-0.295000076,1.889747858,1.308333397,0.105325873,0
Australia1972,Australia,1972,0.069534214,0.147477555,0.47149015,-0.015899992,0.040682267,0.286407703,1.200767517,6.024096489,5.083333492,0.479900122,0.748332977,2.589617252,0.683333397,0.0963206,0
Australia1973,Australia,1973,0.069494978,0.145727734,0.476882309,-0.032700013,0.051008934,0.299447086,11.62477875,9.090909004,6.983333111,1.109200001,-0.049999714,2.29451704,-1.31666708,0.180846516,0
Australia1974,Australia,1974,0.069739015,0.121111987,0.575822561,-0.034599988,0.038170486,0.315781281,1.089286804,15.41666698,13.15833378,0.756499767,-4.121666908,2.656919718,4.158333778,0.194279508,0
Australia1975,Australia,1975,0.070041942,0.132448611,0.528823529,-0.001499997,0.159718874,0.258976269,-4.961051941,15.16245461,8.524999619,0.765900135,1.216667175,4.878655434,0.125,0.167328564,0
Australia1976,Australia,1976,0.066618016,0.122731947,0.542792793,-0.005600016,0.145621612,0.261103579,2.713348389,13.32288361,9.239999771,0.664299965,0.790833473,4.749998569,2.039999962,0.174390671,0
Australia1977,Australia,1977,0.063569634,0.117206512,0.542372881,-0.008099996,0.072744926,0.259329049,-8.047737122,12.30982018,10.21249962,0.552999496,0.014166832,5.60413456,2.302499771,0.113178757,0
Australia1978,Australia,1978,0.057094251,0.119715204,0.476917293,0.008900003,0.14920032,0.262183082,-3.38419342,8.004925728,9.843333244,0.32420063,-0.783332825,6.290086269,1.563333511,0.10349931,0
Australia1979,Australia,1979,0.054413552,0.119995294,0.453464052,0.005100007,0.173844606,0.271064921,-3.968185425,9.122006416,9.773333549,1.39209938,-0.024167061,6.264902115,1.773333549,0.147690757,0
Australia1980,Australia,1980,0.052959415,0.124438636,0.425586592,-0.0154,0.052259031,0.273456482,-0.0078125,10.13584137,12.02750015,1.439700127,-0.380000114,6.132999897,-0.472499847,0.12815968,0
Australia1981,Australia,1981,0.051333754,0.114790341,0.447195767,-0.024099996,0.015408455,0.293011692,7.943092346,9.48766613,15.03833294,1.455600739,-1.079999924,5.782999992,0.288332939,0.144612989,0
Australia1982,Australia,1982,0.050321409,0.102785543,0.48957672,-0.015500013,0.025398998,0.270947207,0.393798828,11.35181999,16.83416748,-0.031700134,-1.45916748,7.183000088,6.33416748,0.116794616,1
Australia1983,Australia,1983,0.051896458,0.109488318,0.473990826,0.015000002,0.176227475,0.240135771,-2.053367615,10.03891087,12.1991663,1.322099686,1.688333511,9.967000008,6.199166298,0.082826657,1
Australia1984,Australia,1984,0.051224469,0.10361404,0.494377682,0.014700014,0.217291109,0.279905022,3.116699219,3.960396051,12.10000038,1.398500443,1.424999237,8.967000008,0.850000381,0.129402134,0
Australia1985,Australia,1985,0.051633492,0.099703293,0.517871486,0.01639999,0.20004469,0.27762903,-16.10974884,6.734694004,15.98250008,1.566800117,-2.028333664,8.258000374,-3.017499924,0.110586865,0
Canada1962,Canada,1962,0.043519776,0.232370847,0.187285868,-0.00719313,0.076729463,0.232208837,-5.8331604,1.061571002,4.052499771,0.051238537,1.046667099,5.884345055,0.052499771,0.088350069,0
Canada1963,Canada,1963,0.042273287,0.2286786,0.184858954,-0.01263407,0.055556887,0.228659094,-1.038726807,1.628151059,3.561666727,0.034061909,1.52916646,5.53104496,-0.438333273,0.075952688,0
Canada1964,Canada,1964,0.041687843,0.21910699,0.190262496,-0.033533052,0.040515743,0.237220936,0.264099121,1.912145019,3.749166727,0.187485695,1.434999704,4.667030334,-0.500833273,0.09676305,0
Canada1965,Canada,1965,0.040550384,0.211229873,0.19197277,-0.037165499,0.037204817,0.261019966,0.017227173,2.332657099,3.984166622,0.248332024,1.215000153,3.86213994,-0.765833378,0.103307087,0
Canada1966,Canada,1966,0.038745551,0.201395999,0.192384909,-0.012376391,0.096359803,0.266007046,0.680892944,3.815659046,4.994999886,0.471335888,0.690000057,3.335743189,-0.255000114,0.120132324,0
Canada1967,Canada,1967,0.03932639,0.205372636,0.191487972,-0.000474743,0.07566556,0.241185317,0.597640991,3.579952002,4.640833378,0.458525658,1.257500172,3.826253414,-1.359166622,0.076560977,0
Canada1968,Canada,1968,0.038926361,0.196587156,0.198010705,-0.007037,0.079286413,0.232318985,0.778007507,4.055300236,6.267499924,0.629127026,0.457499981,4.477924824,-0.232500076,0.092770011,0
Canada1969,Canada,1969,0.038542497,0.191191481,0.20159108,-0.018952122,0.064326229,0.242658799,-0.344863892,4.5615592,7.192500114,0.571192265,0.365833282,4.418209553,-0.807499886,0.101383898,0
Canada1970,Canada,1970,0.038236327,0.181751749,0.210376668,0.023195497,0.12371391,0.214550256,0.8359375,3.366110086,5.990833282,0.041340351,1.974999905,5.715872765,-0.009166718,0.077785491,0
Canada1971,Canada,1971,0.03920812,0.188141257,0.208397247,0.011476466,0.113446681,0.223400384,2.136985779,2.704915047,3.5625,0.460100174,3.382500172,6.190122604,-1.1875,0.091376553,0
Canada1972,Canada,1972,0.040222412,0.194117219,0.207206819,-0.012025968,0.093425565,0.229825319,1.022132874,4.988033772,3.560833216,0.617799759,3.664166689,6.235191822,-1.189166784,0.116618305,0
Canada1973,Canada,1973,0.039107668,0.189861917,0.20597953,-0.043597281,0.081222712,0.244423386,-3.210067749,7.48763895,5.46999979,2.376700401,2.058333397,5.540377617,-1.78000021,0.171289893,0
Canada1974,Canada,1974,0.037033748,0.174555373,0.212160458,-0.028281241,0.125315182,0.262795873,0.753456116,10.99717712,7.824166775,1.510899544,1.045833111,5.335189342,-0.925833225,0.189597341,0
Canada1975,Canada,1975,0.038078665,0.177209716,0.214879105,0.003745126,0.133382742,0.250382177,-2.985725403,10.67218685,7.394999981,1.975299835,1.598332882,6.932513237,-1.605000019,0.124873559,0
Canada1976,Canada,1976,0.035537932,0.165099433,0.215251688,-0.070419355,-0.005736474,0.252420067,9.316932678,7.541738987,8.867500305,1.321400642,0.361666679,7.08768177,0.367500305,0.157692999,0
Canada1977,Canada,1977,0.035500723,0.162205254,0.218862964,0.014635801,0.142681955,0.237538499,-7.49495697,7.976440907,7.33166647,0.568200111,1.361667156,8.063688278,-0.16833353,0.104934316,0
Canada1978,Canada,1978,0.035505306,0.160875422,0.220700624,0.028187165,0.177992278,0.232442725,-9.917358398,8.973725319,8.675833702,1.131999016,0.559999466,8.379200935,-2.074166298,0.107530283,0
Canada1979,Canada,1979,0.032857222,0.149649001,0.219561922,-0.026463268,0.076888912,0.249182916,3.56124115,9.144674301,11.6875,1.646100998,-1.508333206,7.508606911,-2.3125,0.140962015,0
Canada1980,Canada,1980,0.032219888,0.143758791,0.224124648,0.0011268,0.125141667,0.235403461,-1.640716553,10.1292181,12.79333305,3.107398987,-0.454999924,7.517000198,-4.466667175,0.122298406,0
Canada1981,Canada,1981,0.029074976,0.133108959,0.218429895,0.014869972,0.179254369,0.251950548,4.619361877,12.47162151,17.71999931,1.894100189,-2.730833054,7.617000103,3.059999466,0.141197465,0
Canada1982,Canada,1982,0.029934489,0.130938072,0.228615626,0.056300009,0.182576714,0.196501117,6.529167175,10.76896858,13.65750027,-1.844499588,0.777832985,11.10000038,3.607500076,0.053814496,1
Canada1983,Canada,1983,0.030380997,0.137943187,0.220242821,0.055039992,0.200891773,0.199709956,4.604522705,5.86359024,9.31000042,1.249200821,2.088582993,12,-0.649999619,0.085359665,0
Canada1984,Canada,1984,0.029221665,0.137568732,0.212415019,0.030019996,0.154068498,0.208283368,-2.034675598,4.304776192,11.05916691,-0.036100388,1.650875092,11.375,0.969166756,0.09653087,0
Canada1985,Canada,1985,0.029218422,0.157788667,0.185174403,0.049530009,0.171373638,0.21573435,-3.756355286,3.962027788,9.430000305,2.15130043,1.481833458,10.50800037,-0.059999466,0.082342322,0
Germany1888,Germany,1888,0.064350383,0.116767029,0.551100628,-0.004299972,0.040119748,0.138085959,0.749206543,0.9009009,2.109999895,-3.7693E-13,1.53000021,3.799999952,-1.210000038,0.051505912,0
Germany1889,Germany,1889,0.063637074,0.131499189,0.483935108,-0.026800013,-0.018132812,0.154038464,-0.856971741,3.571428537,2.630000114,3.1379E-13,0.96999979,0.200000003,-1.049999952,0.053763509,0
Germany1890,Germany,1890,0.058567452,0.121649728,0.481443344,0.026400009,0.117093993,0.169151231,3.297645569,2.586206675,3.779999971,4.64395E-13,-0.099999905,2.299999952,-0.74000001,0.041937797,0
Germany1891,Germany,1891,0.057883778,0.121163495,0.477732816,0.056400016,0.16962984,0.109581717,-5.430610657,1.680673003,3.019999981,5.25518E-13,0.690000057,3.900000095,-0.75999999,0.022644235,0
Germany1892,Germany,1892,0.058113897,0.120332341,0.482944954,-0.002100042,0.00118122,0.155546455,0.403991699,-0.82644701,1.799999952,-2.1949E-13,1.880000114,6.300000191,-1.400000095,0.00588801,0
Germany1893,Germany,1893,0.056275046,0.118990725,0.47293641,0.008300027,0.028325879,0.143379816,3.233261108,-5.833333015,3.170000076,1.65291E-13,0.480000019,2.799999952,-0.900000095,0.009567347,0
Germany1894,Germany,1894,0.059654241,0.138994781,0.429183314,0.014799987,0.04719589,0.123785443,1.163948059,-1.769911766,1.74000001,-4.59975E-13,1.819999933,3.099999905,-1.379999876,0.014206349,0
Germany1895,Germany,1895,0.061441802,0.146421763,0.419622059,-0.009399986,0.02618046,0.133567387,-1.056030273,1.801802039,2.00999999,2.32415E-13,1.349999905,2.799999952,-1.130000114,0.047131985,0
Germany1896,Germany,1896,0.056295824,0.137893964,0.408254442,-0.022699992,-0.005928909,0.158603509,-2.138526917,0.884955764,3.039999962,9.11992E-14,0.309999943,0.600000024,-0.620000124,0.045625592,0
Germany1897,Germany,1897,0.056092499,0.144227976,0.388915528,-0.022600018,-0.006520027,0.172265615,-1.954216003,1.75438571,3.089999914,3.09825E-13,0.269999981,1.200000048,-0.720000029,0.047569748,0
Germany1898,Germany,1898,0.054282985,0.152517152,0.355913971,0.002300022,0.060854413,0.172265593,-1.171310425,0,3.549999952,-3.76539E-14,-0.149999857,0.400000006,-0.720000029,0.05500873,0
Germany1899,Germany,1899,0.053106344,0.163379543,0.325048918,-0.031400024,-0.051311146,0.202273389,0.192466736,2.586206675,4.449999809,9.90719E-13,-0.899999857,1.200000048,-0.590000153,0.025862051,1
Germany1900,Germany,1900,0.052746296,0.16783471,0.314275256,-0.004199973,0.02824727,0.18733827,0.812843323,2.521009207,4.409999847,-7.33256E-13,-0.729999781,2,-0.920000076,0.039558455,0
Germany1901,Germany,1901,0.053543578,0.16727794,0.320087503,0.025799955,0.076820123,0.14664698,-1.604454041,0,3.059999943,-5.61575E-13,0.590000153,6.699999809,-1.039999962,0.008660377,0
Germany1902,Germany,1902,0.052614027,0.17522218,0.300270358,0.016500034,0.071526466,0.131405982,-0.680580139,0.819672048,2.190000057,3.33452E-13,1.329999924,2.900000095,-1.129999876,0.029837659,0
Germany1903,Germany,1903,0.052526181,0.1781843,0.294785683,-0.022599984,-0.016485194,0.171847108,1.594909668,0,3.00999999,2.86446E-15,0.519999981,2.700000048,-0.829999924,0.038875748,0
Germany1904,Germany,1904,0.051093398,0.193593933,0.263920449,-0.006600013,0.019372711,0.184942799,2.057434082,0,3.140000105,5.67558E-13,0.429999828,2.099999905,-1.079999685,0.036409615,0
Germany1905,Germany,1905,0.049002604,0.203105235,0.241267065,-0.021099978,0.023608326,0.185479372,-3.20740509,3.252032518,2.849999905,1.07229E-12,0.720000029,1.600000024,-0.970000029,0.081388185,0
Germany1906,Germany,1906,0.048575437,0.213679079,0.227328933,-0.002100059,0.053100514,0.195900224,-0.528457642,5.51181078,4.039999962,-3.85395E-14,-0.409999847,1.100000024,-1.110000134,0.059050403,0
Germany1907,Germany,1907,0.049000924,0.228125482,0.214798118,0.002100024,0.032891212,0.211058522,1.977088928,-0.746268511,5.119999886,8.68685E-13,-1.369999886,1.600000024,-0.910000324,0.027088388,0
Germany1908,Germany,1908,0.048891547,0.228339389,0.214117883,0.018000019,0.09610752,0.15755109,-1.458000183,0,3.519999981,-8.68064E-14,0.279999971,2.900000095,-1.240000248,0.045750308,0
Germany1909,Germany,1909,0.049024555,0.240128154,0.204159965,0.025299991,0.110230746,0.162296497,-2.925704956,3.007519007,2.859999895,-3.00756E-13,0.840000153,2.799999952,-1.070000172,0.042887597,0
Germany1910,Germany,1910,0.046572145,0.250363387,0.186018194,0.006999983,0.072196543,0.158800105,-0.131622314,3.649634838,3.539999962,6.2642E-13,0.220000029,1.899999976,-0.809999943,0.054499401,0
Germany1911,Germany,1911,0.048468329,0.249654687,0.194141473,-0.017099968,0.003037852,0.180127218,2.465118408,0,3.539999962,2.02983E-13,0.25,1.899999976,-0.860000134,0.045180149,0
Germany1912,Germany,1912,0.051996111,0.246073743,0.211302963,-0.026800004,-0.029290942,0.198101061,-2.477622986,1.408450484,4.21999979,-2.96234E-13,-0.309999704,2,-0.730000019,0.039133585,0
Germany1913,Germany,1913,0.05167223,0.240519819,0.214835641,0.004799989,0.064455301,0.185696433,3.098777771,0.69444418,4.980000019,1.5943E-12,-0.889999866,2.900000095,-0.900000095,0.051184201,0
Germany1928,Germany,1928,0.062954499,0.209922563,0.299893912,-0.006800009,-0.004148827,0.182830123,3.611701965,2.923976898,7.460000038,-0.110147476,-1.199999809,3.799999952,0.460000038,0.06843207,0
Germany1929,Germany,1929,0.062723557,0.216677335,0.289479085,0.019600002,0.21066314,0.17035116,0.399436951,1.136363983,8.270000458,1.217048168,-1.790000439,5.900000095,1.160000324,0.00048599,1
Germany1930,Germany,1930,0.065059349,0.217249388,0.299468503,0.031500001,0.183633673,0.148251073,1.537742615,-3.370786905,5.659999847,-2.398829937,0.519999981,9.5,0.730000019,-0.074568974,1
Germany1931,Germany,1931,0.07919257,0.210009468,0.377090476,0.062300005,0.171628086,0.109908954,2.911239624,-8.13953495,8.449999809,-0.378385544,-2.309999943,13.89999962,1.539999962,-0.181504157,1
Germany1932,Germany,1932,0.073848485,0.20822328,0.35466008,0.032299988,-0.042147908,0.087742009,2.928619385,-11.39240456,5.039999962,-0.809313297,2.260000229,17.20000076,-0.170000076,-0.171598168,1
Germany1933,Germany,1933,0.072881006,0.192961947,0.377696261,-0.013399989,-0.030440379,0.101526353,-0.781517029,-2.142857075,5.050000191,0.185610294,1.609999657,14.80000019,1.050000191,0.027148664,0
Germany1934,Germany,1934,0.069115234,0.181916357,0.379928637,-0.003200007,0.101357876,0.148961702,-7.31199646,2.189780951,4.550000191,-0.595852375,1.779999733,8.300000191,0.550000191,0.117204787,0
Germany1935,Germany,1935,0.067322519,0.17631166,0.381838154,-0.024499989,-0.005962825,0.158160655,-4.541946411,2.142857075,3.470000029,-0.054241419,1.229999781,6.5,-0.529999971,0.117098819,0
Germany1936,Germany,1936,0.066634668,0.17317048,0.384792303,0.001500006,0.120301748,0.170273102,-2.812675476,0.699301004,3.309999943,0.073462486,1.329999924,4.800000191,-0.690000057,0.111874171,0
Germany1937,Germany,1937,0.065422767,0.146178295,0.447554589,-0.006000004,0.08566771,0.170460465,-4.143051147,0.694444001,3.170000076,0.181497335,1.329999924,2.700000048,-0.829999924,0.119349252,0
Germany1938,Germany,1938,0.085883023,0.168702,0.50908124,0.007599992,0.157815491,0.179619479,-0.221389771,0.689655006,3.00999999,0.418802738,1.529999971,1.299999952,-0.99000001,0.114037436,0
Germany1963,Germany,1963,0.056395192,0.137435527,0.410339256,0.007725888,0.111311052,0.335531032,-0.496101379,2.966959,3.980833292,2.985660553,2.069166899,0.699999988,0.980833292,0.05984258,0
Germany1964,Germany,1964,0.055967587,0.135776955,0.412202405,0.000177593,0.10005312,0.349047144,-0.59790802,2.335735083,4.089166641,1.337327957,2.14416647,0.600000024,1.089166641,0.098883259,0
Germany1965,Germany,1965,0.054543205,0.133861966,0.40745857,0.006259858,0.133757241,0.342549482,-0.781829834,3.242321014,5.135000229,4.416286469,1.914999962,0.5,1.135000229,0.092793676,0
Germany1966,Germany,1966,0.053557268,0.128328775,0.417344187,0.007956507,0.112118065,0.333445564,0.02558136,3.533057928,6.626666546,3.016759872,1.498333454,0.600000024,1.626666546,0.06328808,0
Germany1967,Germany,1967,0.054268114,0.139620185,0.38868387,0.026850796,0.162565829,0.303046485,-0.949661255,1.796048999,4.267499924,2.767957687,2.652500153,1.700000048,1.267499924,0.01253501,1
Germany1968,Germany,1968,0.051739264,0.139934816,0.369738325,0.00075526,0.082665716,0.29346939,0.299224854,1.470299959,3.808333397,2.923454285,2.721666813,1.200000048,0.808333397,0.078749896,0
Germany1969,Germany,1969,0.049207389,0.132547068,0.371244646,-0.021018396,0.006721613,0.305020602,-0.319976807,1.91267395,5.785833359,1.368427277,1.054166794,0.699999988,-0.214166641,0.119393191,0
Germany1970,Germany,1970,0.045886853,0.128106035,0.358194308,-0.01054443,0.067734008,0.334222337,5.033805847,3.445470095,9.406666756,3.047863007,-1.116666794,0.600000024,3.406666756,0.13125062,0
Germany1971,Germany,1971,0.044740177,0.129689876,0.34497818,0.000799099,0.114931699,0.325078899,2.992027283,5.240975857,7.148333549,3.991397858,0.83166647,0.699999988,3.148333549,0.109927941,0
Germany1972,Germany,1972,0.046230248,0.13671688,0.33814587,0.0022229,0.103882187,0.312624595,3.064125061,5.484937191,5.610833168,2.794002533,2.339166641,0.899999976,1.110833168,0.090270809,0
Germany1973,Germany,1973,0.043093219,0.124895715,0.345033609,-0.006380694,0.074358728,0.299208758,7.702232361,7.032023907,12.14249992,3.392601013,-2.872499466,1,5.142499924,0.113779628,0
Germany1974,Germany,1974,0.043349774,0.127980939,0.338720552,0.012015769,0.157085179,0.270357303,-2.056770325,6.986429691,9.902500153,3.392696381,0.497499466,2.200000048,3.902500153,0.082301127,0
