Identifier,Country,Year,M0/GDP,M1/GDP,M0/M1,∆ Debt/GDP,Debt Growth,Invest/GDP,REER,Inflation Rate,ST Interest,HPI,Curve,UR,CreditSprd,Nom GDPg,Depression
Australia1986,Australia,1986,0.051300924,0.103411475,0.496085409,0.014099999,0.157781147,0.263640781,-10.72687531,9.090435028,16.45166588,0.556200027,-3.034998894,8.116999626,1.701665878,0.088047217,0
Australia1987,Australia,1987,0.051234483,0.110916979,0.461917404,-0.0135,0.059907999,0.267656535,-0.159408569,8.487575531,13.75,1.57959938,-0.558333397,8.107999802,2.5,0.124770912,0
Australia1988,Australia,1988,0.049947498,0.115995522,0.430598504,0.027600003,0.272617109,0.287930048,7.931350708,7.21205616,12.80000019,6.289800644,-0.695833206,7.199999809,-1.75,0.131101252,0
Australia1989,Australia,1989,0.044961559,0.111851071,0.401977011,-0.078039989,-0.228738434,0.305287655,6.050262451,7.580321312,17.61166573,2.68239975,-4.203331947,6.132999897,-0.288333893,0.124983006,0
Australia1990,Australia,1990,0.045070702,0.112900379,0.399207709,-0.006090012,0.025519774,0.271063204,-2.148475647,7.232851028,14.54333305,0.308300018,-1.363332748,6.941999912,2.543333054,0.063585405,0
Australia1991,Australia,1991,0.04670995,0.120489157,0.387669323,0.052000011,0.326476582,0.224111445,-1.380363464,3.307223558,10.22583294,1.185499191,0.465000153,9.607999802,1.725832939,0.007243031,1
Australia1992,Australia,1992,0.047735369,0.139486468,0.342222222,0.060249984,0.326927833,0.224007019,-8.218444824,0.968828976,6.465833187,0.197099686,2.75416708,10.74199963,0.715833187,0.037598858,0
Australia1993,Australia,1993,0.048288271,0.155981221,0.309577465,0.030330025,0.168507445,0.239418936,-5.318122864,1.752190232,5.151666641,0.79129982,2.129166603,10.88300037,0.401666641,0.052933148,0
Australia1994,Australia,1994,0.04923613,0.163257188,0.301586294,0.010439972,0.096496904,0.257942327,3.579078674,1.927019238,5.656666756,1.04250145,3.385000229,9.717000008,-1.843333244,0.060395489,0
Australia1995,Australia,1995,0.048736526,0.163841587,0.297461263,-0.005659983,0.041985877,0.253702669,-1.686569214,4.625905037,7.643807888,0.085800171,1.56708765,8.482999802,0.143807888,0.060923108,0
Australia1996,Australia,1996,0.060830601,0.175810986,0.346,-0.017980014,-0.000476068,0.247518309,6.853034973,2.652825832,7.016424656,0.534000397,1.192781925,8.524999619,1.016424656,0.060765896,0
