Identifier,Country,Year,M0/GDP,M1/GDP,M0/M1,∆ Debt/GDP,Debt Growth,Invest/GDP,REER,Inflation Rate,ST Interest,HPI,Curve,UR,CreditSprd,Nom GDPg,Depression,Depression_prob_2026
Australia2025,Australia,2025,0.109666751,0.674326304,0.162631579,0.011089987,0.061506685,0.244175529,-0.582267761,2.257610559,4.012499809,9.756659698,0.125,4.358305931,0.162499905,0.038395595,0,0.5186900030800855
Austria2025,Austria,2025,0.157464286,0.392857143,0.400818182,0.022604101,0.06324413,0.217647699,2.031181335,2.109105349,2.430377007,1.728500366,0.291812658,5.251022339,0.055377007,0.03464421,0,0.7010062229511036
Belgium2025,Belgium,2025,0.157464286,0.392857143,0.400818182,0.02403709,0.062426534,0.242591124,0.665534973,2.937564373,2.430377007,4.503354935,0.374960184,5.905197144,0.055377007,0.038584823,0,0.24194533045165498
Canada2025,Canada,2025,0.064047457,0.547605754,0.116959064,0.017719975,0.054376376,0.238280156,1.136329651,1.986082673,3.011272669,1.573410034,0.006304026,6.511146069,0.261272669,0.03777485,0,0.2160009720706918
Switzerland2025,Switzerland,2025,0.58920523,0.860239636,0.684931507,-0.00680998,0.006932529,0.232686388,1.813941956,0.872918367,0.659520566,1.174697876,-0.184520572,3.976612568,0.659520566,0.025517211,0,0.04486479947881071
China2025,China,2025,0.09755392,0.809336225,0.120535714,0.079789957,0.147609638,0.407494604,-5.94115448,1.086595535,4.099999905,-1.058403015,-2.289999905,5.099999905,1.099999905,0.052529658,0,0.7912926336362934
Germany2025,Germany,2025,0.00099267,0.002476609,0.400818182,0.013229942,0.048982512,0.205144741,1.667556763,2.022805214,2.430377007,5.195999908,-0.240376949,3.565083742,0.055377007,0.027223086,0,0.015896125662176665
Denmark2025,Denmark,2025,0.015282362,0.520250634,0.029375,-0.013846918,0.003801824,0.209458697,1.014564514,2.049498081,2.332667828,11.23551804,-0.205834389,6.136977196,0.732667804,0.050590108,0,0.6516274558322301
Spain2025,Spain,2025,0.157464286,0.392857143,0.400818182,-0.009128439,0.033812458,0.201412979,1.675865173,2.056199312,2.430377007,15.67483489,0.598293543,10.94595146,0.055377007,0.043164681,0,0.2218024976902414
Finland2025,Finland,2025,0.157464286,0.392857143,0.400818182,0.035116053,0.079140359,0.21986837,-0.477897644,1.844263554,2.430377007,1.078806992,0.314273119,8.020545959,0.055377007,0.034869357,0,0.6677566121285388
